Sample Technique,Random Forest,Logistic Regression,Naive Bayes,Decision Trees,KNN
Simple Random Sampling,0.987012987012987,0.987012987012987,0.961038961038961,0.961038961038961,0.987012987012987
Systematic Sampling,0.9743589743589743,0.9743589743589743,0.9615384615384616,0.8846153846153846,0.9743589743589743
Cluster Sampling,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561
Stratified Sampling,1.0,0.9857142857142858,1.0,0.9714285714285714,1.0
Bootstrap Sampling,1.0,0.9625,0.95,0.9875,0.95
